ID,title,authors,year,publisher,subject
1240,Democracy in America,Alexis Tocqueville;Gerald Bevan;Isaac Kramnick,2003,Egmont Childrens Books,History
3497,Psycho Shop,Alfred Bester & Roger Zelazny,2013,Pocket,Fiction
6095,The Visible Hand,Alfred D. Chandler Jr.,1977,Tor Books,Business & Economics
318,Alfred Hitchcock,Alfred Hitchcock,2005,Llewellyn Publications,Fiction
2625,Limbo,Alfred Lubrano,2005,A. Mondadori,Social Science
829,Carly's Sound,Ali Vali,2006,St Martins Pr,Fiction
4389,The Bears on Hemlock Mountain,Alice Dalgliesh,1992,Harcourt,Juvenile Fiction
4956,The Fourth of July Story,Alice Dalgliesh,1995,Laia,Juvenile Nonfiction
2036,Here on Earth,Alice Hoffman,1999,Pocket Books,Fiction
3459,Practical Magic,Alice Hoffman,2003,Anagrama,Fiction
5664,The Probable Future,Alice Hoffman,2004,Delta,Fiction
6412,Turtle Moon,Alice Hoffman,2002,Atria Books,Mothers and sons
4611,The Collaborator,Alice Kaplan,2001,Del Rey Books,History
1367,Drama Of The Gifted,Alice Miller,1990,Dell,Psychology
2651,Lives of Girls and Women,Alice Munro,2001,Ebury Press,Fiction
4397,The Beggar Maid,Alice Munro,1991,Perennial,Fiction
6089,The View from Castle Rock,Alice Munro,2006,Addison Wesley Publishing Company,Families
6647,Who do you think you are?,Alice Munro,1978,Havill Pr,Canada
5338,The Lovely Bones,Alice Sebold,2004,Pocket,Fiction
4629,The Color Purple,Alice Walker,1985,Santillana USA Publishing Company,Fiction
1161,Dante's Vita Nuova,Alighieri Dante;Dante Alighieri,1973,Audioworks,Literary Criticism
1770,Fun Home,Alison Bechdel,2006,Tor Books,Biography & Autobiography
2028,Henry VIII,Alison Weir,2002,St Martins Pr,Biography & Autobiography
4572,The Children of Henry VIII,Alison Weir,1997,Bantam Books,Biography & Autobiography
5882,The Six Wives of Henry VIII,Alison Weir,2000,Thomas Nelson Inc,Biography & Autobiography
198,A Savage War of Peace,Alistair Horne,2006,Aladdin,History
476,Arthur and the Lost Kingdoms,Alistair Moffat,2000,Picador USA,Great Britain
929,Christian Theology,Alister E. McGrath,2006,A. Mondadori,Religion
2243,In the Beginning,Alister E. McGrath,2002,Dell Publishing Company,Religion
5729,The Republic of Plato,Allan Bloom,1991,Audioworks,Philosophy
6702,Wittgenstein's Vienna,Allan Janik;Stephen Toulmin,1996,Pocket,History
2308,Intuition,Allegra Goodman,2007,Berkley Publishing Group,Fiction
4842,The Easy Way to Stop Smoking,Allen Carr,2004,Yearling,Self-Help
2151,Howl and Other Poems,Allen Ginsberg,1996,Ullstein,
2457,Kaddish and Other Poems: 1958-1960,Allen Ginsberg,1961,Berkley Pub Group,Poetry
2150,Howl,Allen Ginsberg;Barry Miles,2006,Editorial Empúries,Poetry
5405,The Metamorphoses of Ovid,Allen Mandelbaum,1995,Hackett Publishing Company,Literary Criticism
2180,I Love Saturdays y domingos,Alma Flor Ada,2004,HarperTrophy,Juvenile Fiction
3037,My Name Is Maria Isabel,Alma Flor Ada;Ana M. Cerro,1995,Piramide,Juvenile Fiction
3742,Scary stories 3,Alvin Schwartz,1991,Abacus,Folklore
2120,How to Be Lost,Amanda Eyre Ward,2005,Berkley Publishing Group,Fiction
2203,Identity and Violence: The Illusion of Destiny (Issues of Our Time),Amartya Sen,2007,Avon,Philosophy
1243,Demon in My View,Amelia Atwater-Rhodes,2001,A. Mondadori,Juvenile Fiction
2905,Midnight Predator,Amelia Atwater-Rhodes,2003,Diogenes Verlag,Juvenile Fiction
3860,Shattered Mirror,Amelia Atwater-Rhodes,2003,Longstreet Press,Juvenile Fiction
4414,The Best of America's Test Kitchen 2007,America's Test Kitchen,2006,Goldmann,Cooking
3352,Pendulum,Amir D. Aczel,2004,Conari Press,Biography & Autobiography
5134,The Hungry Tide,Amitav Ghosh,2006,Dell Publishing Company,Fiction
5826,The Secret Garden Cookbook,Amy Cotler,1999,Pan Macmillan,Juvenile Nonfiction
3880,Side Effects,Amy Goldman Koss,2006,2000,Juvenile Fiction
3570,Reasons to Live,Amy Hempel,1995,Avon,Fiction
2179,I Like You,Amy Sedaris,2006,Carhil Ventures,Cooking
3815,Sex and the City,Amy Sohn;Sarah Jessica Parker,2002,Planeta Pub Corp,Fiction
3696,"Sagwa, The Chinese Siamese Cat",Amy Tan,2001,Dutton Books,Juvenile Fiction
3739,Saving Fish from Drowning,Amy Tan,2006,Bantam Books,Fiction
4474,The Bonesetter's Daughter,Amy Tan,2003,Signet Book,Fiction
4475,The Bonesetter's Daughter,Amy Tan,2001,L�?¼bbe,China
5192,The Joy Luck Club,Amy Tan,2006,Scribner,Fiction
5212,The Kitchen God's Wife,Amy Tan,2006,Riverhead Books,Fiction
2023,Henry and June,Anaïs Nin,1986,Candlewick Press (MA),"Authors, American"
2104,House of Incest,Anaïs Nin,1989,Scribner,Fiction
2264,Incest,Anaïs Nin,1993,Penguin Books,Biography & Autobiography
250,A Woman Speaks,Anaïs Nin;Evelyn J. Hinz,1975,Allison &amp; Busby,Literary Collections
214,A Spy In The House Of Love,Anais Nin,2001,A. Mondadori,Fiction
1489,EntreMundos/AmongWorlds,AnaLouise Keating,2005,Delta,Literary Collections
4647,The Complete Fairy Tales and Stories,"Andersen, H. C. (Hans Christian)",1983,Ballantine Books,Fiction
783,Broken Vessels,Andre Dubus,1992,Warner Books,Fiction
2472,Killings,Andre Dubus,1999,Presses pocket,
3784,Selected Stories,Andre Dubus,1996,Avon Books,Fiction
2391,Jesus Freaks,Andre Duza,2006,Gallimard,Fiction
1545,Excursion to Tindari,Andrea Camilleri,2005,Berkley Publishing Group,Fiction
3672,Rounding the Mark,Andrea Camilleri,2006,Ballantine Books,Fiction
6528,Voice of the Violin,Andrea Camilleri,2004,Delta,Fiction
3092,Never Far from Nowhere,Andrea Levy,1996,Beacon Press,Blacks
3937,Small Island,Andrea Levy,2004,Plume Books,Fiction
1796,Genres in Dialogue,Andrea Wilson Nightingale,2000,SunShine Press Publications,Literary Collections
3714,Salvation to the Ends of the Earth,Andreas J. Köstenberger;Peter Thomas O'Brien,2001,A. Mondadori,Religion
6293,Thus Spake the Corpse,Andrei Codrescu;Laura Rosenthal,1999,Signet Book,Poetry
4130,Suburban Nation,Andres Duany;Elizabeth Plater-Zyberk;Jeff Speck,2001,Berkley Publishing Group,Architecture
369,Amsterdam,Andrew Bender,2006,Ivy Books,Travel
4358,The Autobiography of Andrew Carnegie and the Gospel of Wealth,Andrew Carnegie,2006,Aladdin,Biography & Autobiography
859,Cat's Cradle,Andrew Cartmel,1991,A. Mondadori,Fiction
2867,Melville,Andrew Delbanco,2006,Tor Books,Biography & Autobiography
1613,Feeding the Future,Andrew Heintzman;Evan Solomon,2006,HarperCollins,Social Science
5763,"The Road to War, 1933-1939",Andrew Hunt,2000,Kensington Publishing Corporation,Germany
1051,Conan: Sword of Skelos,Andrew Offutt,2002,Touchstone,Fiction
948,City on the Seine,Andrew P. Trout,1996,Penguin Books,Paris (France)
5500,The Noonday Demon,Andrew Solomon,2002,Little Brown and Company,Psychology
3081,"Natural Health, Natural Medicine",Andrew Weil,2004,A. Mondadori,Health & Fitness
855,Catfish and Mandala,Andrew X. Pham,2000,Ballantine Books,Biography & Autobiography
4589,The Church in Emerging Culture,Andy Crouch,2003,Dell Publishing Company,Religion
2453,Just Disgusting!,Andy Griffiths,2002,Simon &amp; Schuster,Australian fiction
